sep=,
"Nombre","Saldo actual","Cuentas","Transferencias","Descripción","Beneficiario","Categoría","Fecha","Hora","Memoria","Importe","Moneda","Número de cheque","Etiquetas","Saldo"
"Roboadvisor","4595,19","EUR","","","","","","","","","","","",""
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","28/01/2024","0:37","","57,45","EUR","","Pablo; ","2457,09"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","22/01/2024","23:53","","45,00","EUR","","Pablo; ","2399,64"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","20/01/2024","18:06","","0,84","EUR","","Pablo; ","2354,64"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","15/01/2024","23:23","","45,00","EUR","","Pablo; ","2353,80"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","14/01/2024","19:08","","30,77","EUR","","Pablo; ","2308,80"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","08/01/2024","18:21","","45,00","EUR","","Pablo; ","2278,03"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","07/01/2024","10:34","","-17,17","EUR","","Pablo; ","2233,03"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","04/01/2024","19:34","","45,00","EUR","","Pablo; ","2250,20"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","31/12/2023","10:19","","6,84","EUR","","Pablo; ","2205,20"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","25/12/2023","21:25","","0,94","EUR","","Pablo; ","2198,36"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","25/12/2023","21:24","","45,00","EUR","","Pablo; ","2197,42"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","23/12/2023","19:45","","-12,41","EUR","","Pablo; ","2152,42"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","18/12/2023","21:33","","45,00","EUR","","Pablo; ","2164,83"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","17/12/2023","16:32","","25,40","EUR","","Pablo; ","2119,83"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","11/12/2023","8:31","","45,00","EUR","","Pablo; ","2094,43"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","10/12/2023","17:25","","-0,23","EUR","","Pablo; ","2049,43"
